0,0,6.19,74.44
0.5,0,-39.73,128.14
1,0,-228.37,-46.64
1.5,0,-146.82,-73.61
2,0,-13.05,-104.11
2.5,0,5.07,-110.55
3,0,73.51,-221.1
3.5,0,342.3,-156.96
4,0,394,400.5
4.5,0,382.4,96.97
5,0,63.2,190.97
5.5,0,-1.93,114.12
6,0,-15.7,105.32
6.5,0,-164.71,100.32
7,0,-261.3,-53.48
7.5,0,-43.1,-119.55
8,0,2.08,-70.37
0,0.5,-17.9,48.25
0.5,0.5,-44.84,58.26
1,0.5,-83.84,19.85
1.5,0.5,-78.8,-29.44
2,0.5,-31.83,-63.03
2.5,0.5,3.74,-86.89
3,0.5,60.34,-110.99
3.5,0.5,155.78,-69.91
4,0.5,192.58,-13.58
4.5,0.5,187.63,64.19
5,0.5,90.75,104.64
5.5,0.5,20.53,88.56
6,0.5,-26.41,79.1
6.5,0.5,-81.94,24.15
7,0.5,-95.55,-33.95
7.5,0.5,-47.8,-60.53
8,0.5,-14.38,-45.03
0,1,-17.65,33.23
0.5,1,-37.92,34.52
1,1,-53.56,15.7
1.5,1,-51.34,15.1
2,1,-29.76,-34.71
2.5,1,-3.25,-48.08
3,1,32.55,-48.12
3.5,1,65.84,-30.88
4,1,89.67,-0.24
4.5,1,84.16,31.47
5,1,38.97,47.1
5.5,1,3.41,52.63
6,1,-32.21,35.76
6.5,1,-52.61,14.55
7,1,-54.56,-13.05
7.5,1,-31.18,-34.06
8,1,-12.61,-30.71
0,1.5,-17.65,22.39
0.5,1.5,-27.85,20.06
1,1.5,-32.55,7.18
1.5,1.5,-29.29,-6.4
2,1.5,-17.31,-18.87
2.5,1.5,-3.39,-22.24
3,1.5,14.6,-23.38
3.5,1.5,30.77,-19.85
4,1.5,36.26,-1.74
4.5,1.5,26.61,17.05
5,1.5,9.98,21.52
5.5,1.5,-8.18,24.4
6,1.5,-23.21,17.73
6.5,1.5,-32.74,6
7,1.5,-32.51,-9.6
7.5,1.5,-23.81,-23.45
8,1.5,-17.75,-19.95
0,2,13.14,39.42
0.5,2,9.12,36.84
1,2,7.15,33.26
1.5,2,9.1,25.61
2,2,13.01,20.4
2.5,2,20.4,16.42
3,2,30.02,16.3
3.5,2,35.33,20.85
4,2,36.75,26.9
4.5,2,34.42,35.35
5,2,27.33,39
5.5,2,17.84,38.15
6,2,9.62,36.48
6.5,2,5,28.58
7,2,6.34,21.72
7.5,2,10.75,16.66
8,2,16.36,13.71
0,2.5,14.92,37.41
0.5,2.5,12.04,35.52
1,2.5,10.92,32.54
1.5,2.5,11.72,28.34
2,2.5,14.94,24.51
2.5,2.5,19.09,23.01
3,2.5,24.05,22.35
3.5,2.5,26.95,23.73
4,2.5,27.96,27.77
4.5,2.5,26.44,31.52
5,2.5,22.84,33.47
5.5,2.5,17.57,32.77
6,2.5,13.84,30.95
6.5,2.5,11.49,25.21
7,2.5,12.7,21.93
7.5,2.5,14.69,19.39
8,2.5,17.78,16.7
0,3,17.71,35.54
0.5,3,16.1,34
1,3,15.36,31.2
1.5,3,15.43,30.02
2,3,16.63,27.03
2.5,3,18.79,25.99
3,3,20.95,25.97
3.5,3,22.69,26.95
4,3,23.05,27.92
4.5,3,21.99,29.59
5,3,19.85,30.21
5.5,3,17.71,29.64
6,3,15.81,27.54
6.5,3,14.95,25
7,3,15.98,22.75
7.5,3,17.88,20.04
8,3,19.68,19.13
0,3.5,19.56,33.6
0.5,3.5,18.39,32.26
1,3.5,17.29,30.86
1.5,3.5,17.61,29.55
2,3.5,18.1,28.85
2.5,3.5,19.11,27.79
3,3.5,20.95,27.12
3.5,3.5,20.91,27.37
4,3.5,21.04,27.67
4.5,3.5,20.71,27.31
5,3.5,19.85,27.32
5.5,3.5,18.9,27.22
6,3.5,18.03,26.8
6.5,3.5,18.01,26.14
7,3.5,18.16,24.26
7.5,3.5,19.41,23.81
8,3.5,20.04,22.97
0,4,20.53,31.82
0.5,4,19.85,31.44
1,4,19.39,30.25
1.5,4,19.2,29.13
2,4,19.51,29
2.5,4,19.81,28.13
3,4,20.23,27.62
3.5,4,20.53,27.54
4,4,20.66,27.1
4.5,4,20.51,27.65
5,4,20.04,26.86
5.5,4,19.62,26.88
6,4,19.47,26.1
6.5,4,19.77,25.53
7,4,20.66,24.17
7.5,4,21.29,23.81
8,4,21.74,22.71
0,4.5,21.66,30.8
0.5,4.5,20.72,30.67
1,4.5,20.33,30.23
1.5,4.5,20.3,29.04
2,4.5,20.4,28.92
2.5,4.5,20.38,28.54
3,4.5,20.72,27.62
3.5,4.5,20.89,27.33
4,4.5,20.95,27.2
4.5,4.5,20.76,26.65
5,4.5,20.7,26.4
5.5,4.5,20.55,26.12
6,4.5,20.95,26.06
6.5,4.5,20.85,24.62
7,4.5,21.61,24.68
7.5,4.5,21.8,24
8,4.5,22.58,23.52
0,5,22.67,30.4
0.5,5,22.46,30.02
1,5,22.04,29.42
1.5,5,21.61,28.54
2,5,21.44,28.58
2.5,5,21.34,28.32
3,5,21.31,27.52
3.5,5,21.4,27.71
4,5,21.34,27.26
4.5,5,21.27,26.86
5,5,21.25,27.29
5.5,5,21.29,26.9
6,5,21.42,26.38
6.5,5,21.5,26.06
7,5,21.46,25.55
7.5,5,22.25,24.3
8,5,22.73,24.24
